vpn,itlb_hit,dtlb_hit,stlb_hit,stlb_ptw
1009992,0,499,0,1
1009993,0,498,0,1
1009994,0,494,0,1
1009995,0,498,0,1
1009996,0,498,0,1
1009997,0,494,0,1
1009998,0,497,0,1
1009999,0,492,0,1
1010000,0,498,0,1
1010001,0,6,0,1
1010007,0,10,0,1
1010008,0,499,0,1
1010009,0,492,0,1
1010010,0,495,0,1
1010011,0,495,0,1
1010012,0,497,0,1
1010013,0,450,0,1
1010044,0,105,0,1
1010045,0,490,0,1
1010046,0,332,0,1
1010072,0,24,0,1
1010143,0,291,0,1
1010144,0,504,0,1
1010145,0,237,0,1
1010159,0,32,0,1
1010160,0,486,0,1
1010161,0,451,0,1
101020,0,0,0,1
101021,0,302,0,1
1010239,0,103,0,1
1010320,0,274,0,1
1010321,0,497,0,1
1010322,0,199,0,1
1010356,0,327,0,1
1010357,0,495,0,1
1010358,0,495,0,1
1010359,0,499,0,1
1010360,0,492,0,1
1010361,0,495,0,1
1010362,0,112,0,1
1010454,0,294,0,1
1010489,0,80,0,1
1010624,0,8,0,1
1010669,0,368,0,1
1010670,0,502,0,1
1010671,0,494,0,1
1010672,0,502,0,1
1010673,0,502,0,1
1010674,0,499,0,1
1010675,0,70,0,1
1010680,0,80,0,1
1010681,0,484,0,1
1010682,0,345,0,1
1010711,0,327,0,1
1010712,0,494,0,1
1010713,0,497,0,1
1010714,0,502,0,1
1010715,0,496,0,1
1010716,0,493,0,1
1010717,0,493,0,1
1010718,0,493,0,1
1010719,0,494,0,1
1010720,0,493,0,1
1010721,0,502,0,1
1010722,0,492,0,1
1010723,0,500,0,1
1010724,0,490,0,1
1010725,0,494,0,1
1010726,0,496,0,1
1010727,0,494,0,1
1010728,0,490,0,1
1010729,0,136,0,1
101073,0,39,0,1
1010752,0,93,0,1
101076,0,478,0,1
101077,0,487,0,1
101078,0,492,0,1
101079,0,500,0,1
101080,0,497,0,1
101081,0,491,0,1
1010811,0,321,0,1
101082,0,493,0,1
101083,0,495,0,1
101084,0,499,0,1
101085,0,506,0,1
1010852,0,476,0,1
1010853,0,402,0,1
101086,0,495,0,1
1010861,0,165,0,1
1010862,0,125,0,1
101087,0,495,0,1
